image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Berberis_thunbergii.npy,20324936,15,93,6.68,12531.0,13
Berberis_vulgaris.npy,20324936,15,219,25.51,45163.0,13
Betula_papyrifera.npy,20324936,15,1174,449.0,632016.0,13
Betula_pendula.npy,20324936,15,386,67.31,86294.0,13
Clematis_vitalba.npy,20324936,15,1182,393.69,479708.0,13
Fallopia_aubertii.npy,20324936,15,360,87.69,117787.0,13
Frangula_alnus.npy,20324936,15,449,137.06,172608.0,13
Hedera_helixSTERILE.npy,20324936,15,1896,975.61,642398.0,13
Koelreuteria_paniculata.npy,20324936,15,932,370.46,378480.0,13
Laburnum_anagyroides.npy,20324936,15,265,48.0,87626.0,13
Physocarpus_opulifolius.npy,20324936,15,934,318.56,327873.0,13
Quercus_cerris.npy,20324936,15,1279,556.66,712359.0,13
Quercus_palustris.npy,20324936,15,2303,610.8,305212.0,13
Robinia_viscosa.npy,20324936,15,357,75.11,135729.0,13
Sorbus_intermedia.npy,20324936,15,1134,598.42,649626.0,13
Syringa_chinensis.npy,20324936,15,355,68.54,114726.0,13
Tilia_cordata.npy,20324936,15,577,128.33,207825.0,13
Tilia_tomentosa.npy,20324936,15,1363,803.5,790528.0,13
Viburnum_rhytidophyllum.npy,20324936,15,601,522.27,612397.0,13
Zelkova_serrata.npy,20324936,15,965,524.33,756016.0,13
