image_name,generation,best_rectangle_count,fitness
Bone-10_binary.npy,0,411,27270.0
Bone-10_binary.npy,1,393,27450.0
Bone-10_binary.npy,2,393,27450.0
Bone-10_binary.npy,3,393,27450.0
Bone-10_binary.npy,4,390,27480.0
Bone-10_binary.npy,5,389,27490.0
Bone-10_binary.npy,6,386,27520.0
Bone-10_binary.npy,7,386,27520.0
Bone-10_binary.npy,8,381,27570.0
Bone-10_binary.npy,9,381,27570.0
Bone-10_binary.npy,10,381,27570.0
Bone-10_binary.npy,11,381,27570.0
Bone-10_binary.npy,12,381,27570.0
Bone-10_binary.npy,13,381,27570.0
Bone-10_binary.npy,14,381,27570.0
Comma-10_binary.npy,0,422,64549.0
Comma-10_binary.npy,1,307,65699.0
Comma-10_binary.npy,2,307,65699.0
Comma-10_binary.npy,3,307,65699.0
Comma-10_binary.npy,4,307,65699.0
Comma-10_binary.npy,5,306,65709.0
Comma-10_binary.npy,6,278,65989.0
Comma-10_binary.npy,7,278,65989.0
Comma-10_binary.npy,8,278,65989.0
Comma-10_binary.npy,9,278,65989.0
Comma-10_binary.npy,10,278,65989.0
Comma-10_binary.npy,11,251,66259.0
Comma-10_binary.npy,12,251,66259.0
Comma-10_binary.npy,13,251,66259.0
Comma-10_binary.npy,14,223,66539.0
Comma-10_binary.npy,15,223,66539.0
Comma-10_binary.npy,16,223,66539.0
Comma-10_binary.npy,17,212,66649.0
Comma-10_binary.npy,18,212,66649.0
Comma-10_binary.npy,19,207,66699.0
Comma-10_binary.npy,20,202,66749.0
Comma-10_binary.npy,21,197,66799.0
Comma-10_binary.npy,22,194,66829.0
Comma-10_binary.npy,23,189,66879.0
Comma-10_binary.npy,24,189,66879.0
Comma-10_binary.npy,25,181,66959.0
Comma-10_binary.npy,26,181,66959.0
Comma-10_binary.npy,27,181,66959.0
Comma-10_binary.npy,28,175,67019.0
Comma-10_binary.npy,29,175,67019.0
Comma-10_binary.npy,30,172,67049.0
Comma-10_binary.npy,31,170,67069.0
Comma-10_binary.npy,32,170,67069.0
Comma-10_binary.npy,33,170,67069.0
Comma-10_binary.npy,34,170,67069.0
Comma-10_binary.npy,35,170,67069.0
Comma-10_binary.npy,36,170,67069.0
Comma-10_binary.npy,37,169,67079.0
Comma-10_binary.npy,38,167,67099.0
Comma-10_binary.npy,39,166,67109.0
Comma-10_binary.npy,40,166,67109.0
Comma-10_binary.npy,41,166,67109.0
Comma-10_binary.npy,42,166,67109.0
Comma-10_binary.npy,43,166,67109.0
Comma-10_binary.npy,44,166,67109.0
Comma-10_binary.npy,45,166,67109.0
Glas-10_binary.npy,0,358,48115.0
Glas-10_binary.npy,1,280,48895.0
Glas-10_binary.npy,2,280,48895.0
Glas-10_binary.npy,3,280,48895.0
Glas-10_binary.npy,4,246,49235.0
Glas-10_binary.npy,5,246,49235.0
Glas-10_binary.npy,6,246,49235.0
Glas-10_binary.npy,7,246,49235.0
Glas-10_binary.npy,8,246,49235.0
Glas-10_binary.npy,9,246,49235.0
Glas-10_binary.npy,10,240,49295.0
Glas-10_binary.npy,11,221,49485.0
Glas-10_binary.npy,12,221,49485.0
Glas-10_binary.npy,13,221,49485.0
Glas-10_binary.npy,14,211,49585.0
Glas-10_binary.npy,15,211,49585.0
Glas-10_binary.npy,16,207,49625.0
Glas-10_binary.npy,17,207,49625.0
Glas-10_binary.npy,18,206,49635.0
Glas-10_binary.npy,19,197,49725.0
Glas-10_binary.npy,20,197,49725.0
Glas-10_binary.npy,21,197,49725.0
Glas-10_binary.npy,22,197,49725.0
Glas-10_binary.npy,23,197,49725.0
Glas-10_binary.npy,24,197,49725.0
