image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Bone-10_binary.npy,78552192,20,381,37.19,27570.0,9
Comma-10_binary.npy,78552192,20,166,34.97,67109.0,9
Glas-10_binary.npy,78552192,20,185,37.95,49845.0,9
HCircle-10_binary.npy,78552192,20,127,31.4,47774.0,9
Heart-10_binary.npy,78552192,20,412,107.0,99829.0,9
Misk-10_binary.npy,78552192,20,368,95.3,88731.0,9
apple-10_binary.npy,78552192,20,131,16.08,26707.0,9
bat-10_binary.npy,78552192,20,389,72.42,50359.0,9
beetle-10_binary.npy,78552192,20,349,24.46,15180.0,9
bell-10_binary.npy,78552192,20,211,42.62,77565.0,9
