image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Acer_campestre.npy,956107287,20,1436,58.11,876264.0,8
Acer_ginnala.npy,956107287,20,698,18.96,214702.0,12
Acer_monspessulanum.npy,956107287,20,355,10.47,90828.0,7
Acer_negundo.npy,956107287,20,607,18.53,346325.0,7
Acer_palmatum.npy,956107287,20,520,14.61,57465.0,11
Acer_platanoides.npy,956107287,20,1912,75.86,1044156.0,7
Acer_pseudoplatanus.npy,956107287,20,2106,135.34,1683795.0,7
Acer_saccharinum.npy,956107287,20,2340,68.25,697128.0,7
Acer_saccharum.npy,956107287,20,2048,87.34,1197058.0,7
Acer_tataricum.npy,956107287,20,571,23.88,259751.0,7
Actinidia_arguta.npy,956107287,20,694,26.93,434009.0,7
Aesculus_carnea.npy,956107287,20,1614,160.67,2027067.0,7
Aesculus_glabra.npy,956107287,20,556,18.31,430687.0,7
Aesculus_hippocastanum.npy,956107287,20,845,28.72,584834.0,7
Aesculus_octandra.npy,956107287,20,605,33.53,425481.0,8
Aesculus_pavia.npy,956107287,20,458,13.4,320770.0,7
Ailanthus_altissima.npy,956107287,20,994,53.87,1602094.0,7
Alnus_alnobetula.npy,956107287,20,504,13.29,269088.0,7
Alnus_glutinosa.npy,956107287,20,1006,46.64,617727.0,7
Alnus_incana.npy,956107287,20,942,38.67,817180.0,7
Alnus_orientalis.npy,956107287,20,595,16.88,301826.0,7
Amelanchier_ovalis.npy,956107287,20,469,20.41,235930.0,7
Amorpha_fruticosa.npy,956107287,20,217,5.22,89008.0,7
Amygdalus_communis.npy,956107287,20,285,11.38,116696.0,7
Arctostaphylos_uvaursi.npy,956107287,20,99,2.14,9176.0,7
Aronia_melanocarpa.npy,956107287,20,661,16.13,405485.0,7
Berberis_thunbergii.npy,956107287,20,91,1.2,12551.0,7
Berberis_vulgaris.npy,956107287,20,203,2.95,45323.0,7
Betula_nana.npy,956107287,20,114,3.38,10270.0,7
Betula_papyrifera.npy,956107287,20,1049,37.85,633266.0,8
Betula_pendula.npy,956107287,20,345,10.76,86704.0,7
Betula_pubescens.npy,956107287,20,362,7.25,121146.0,7
Buddleja_davidii.npy,956107287,20,560,41.49,487482.0,7
Buxus_sempervirens.npy,956107287,20,157,3.28,34097.0,7
Caragana_arborescens.npy,956107287,20,146,1.85,35159.0,7
Carpinus_betulus.npy,956107287,20,581,20.68,408329.0,7
Carya_ovata.npy,956107287,20,889,76.42,1141772.0,7
Castanea_sativa.npy,956107287,20,1,98.57,5727118.0,7
Catalpa_bignonioides.npy,956107287,20,1713,104.79,2479345.0,10
Celtis_occidentalis.npy,956107287,20,610,19.7,401397.0,7
Cercidiphyllum_japonicum.npy,956107287,20,833,30.17,467235.0,10
Cercis_siliquastrum.npy,956107287,20,1103,40.44,1028509.0,7
Chaenomeles_japonica.npy,956107287,20,93,13.48,703598.0,7
Clematis_vitalba.npy,956107287,20,1017,38.0,481358.0,8
Colutea_arborescens.npy,956107287,20,252,4.21,79291.0,7
Cornus_alba.npy,956107287,20,1023,49.85,1243056.0,7
Cornus_mas.npy,956107287,20,529,17.18,278848.0,7
Cornus_sanguinea.npy,956107287,20,296,6.74,103059.0,7
Corylus_avellana.npy,956107287,20,1365,62.51,1698882.0,7
Corylus_colurna.npy,956107287,20,1426,62.27,1425436.0,7
Corylus_maxima.npy,956107287,20,902,33.73,779684.0,7
Cotinus_coggygria.npy,956107287,20,781,29.33,628435.0,7
Cotoneaster_horizontalis.npy,956107287,20,117,3.05,20294.0,7
Cotoneaster_integerrimus.npy,956107287,20,188,2.19,36759.0,7
Crataegus_monogyna.npy,956107287,20,348,5.01,66291.0,7
Cydonia_oblonga.npy,956107287,20,682,17.32,509990.0,7
Daphne_mezereum.npy,956107287,20,268,15.79,151268.0,7
Deutzia_scabra.npy,956107287,20,302,10.08,123114.0,7
Elaeagnus_angustifolia.npy,956107287,20,235,6.25,126551.0,7
Euonymus_europaea.npy,956107287,20,535,14.9,358718.0,7
Euonymus_verrucosa.npy,956107287,20,383,9.02,174019.0,7
Fagus_sylvatica.npy,956107287,20,882,32.71,753619.0,7
Fallopia_aubertii.npy,956107287,20,343,10.6,117957.0,7
Ficus_carica.npy,956107287,20,1816,55.39,1398548.0,7
Forsythia_intermedia.npy,956107287,20,424,11.43,156269.0,7
Frangula_alnus.npy,956107287,20,426,8.13,172838.0,7
