image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Bone-10_binary.npy,6344416,100,381,31.66,27570.0,9
Comma-10_binary.npy,6344416,100,166,17.07,67109.0,9
Glas-10_binary.npy,6344416,100,185,19.97,49845.0,9
HCircle-10_binary.npy,6344416,100,127,12.16,47774.0,9
Heart-10_binary.npy,6344416,100,412,40.43,99829.0,9
Misk-10_binary.npy,6344416,100,368,34.53,88731.0,9
apple-10_binary.npy,6344416,100,131,9.96,26707.0,9
bat-10_binary.npy,6344416,100,389,48.21,50359.0,9
beetle-10_binary.npy,6344416,100,344,46.75,15230.0,13
bell-10_binary.npy,6344416,100,211,21.41,77565.0,9
