image_name,generation,best_rectangle_count,fitness
HCircle-10_binary.npy,0,200,47044.0
HCircle-10_binary.npy,1,151,47534.0
HCircle-10_binary.npy,2,151,47534.0
HCircle-10_binary.npy,3,149,47554.0
HCircle-10_binary.npy,4,145,47594.0
HCircle-10_binary.npy,5,143,47614.0
HCircle-10_binary.npy,6,136,47684.0
HCircle-10_binary.npy,7,133,47714.0
HCircle-10_binary.npy,8,132,47724.0
HCircle-10_binary.npy,9,130,47744.0
HCircle-10_binary.npy,10,129,47754.0
HCircle-10_binary.npy,11,127,47774.0
HCircle-10_binary.npy,12,127,47774.0
HCircle-10_binary.npy,13,127,47774.0
HCircle-10_binary.npy,14,127,47774.0
HCircle-10_binary.npy,15,127,47774.0
HCircle-10_binary.npy,16,127,47774.0
HCircle-10_binary.npy,17,127,47774.0
HCircle-10_binary.npy,18,127,47774.0
HCircle-10_binary.npy,19,127,47774.0
HCircle-10_binary.npy,20,127,47774.0
HCircle-10_binary.npy,21,127,47774.0
HCircle-10_binary.npy,22,127,47774.0
HCircle-10_binary.npy,23,127,47774.0
bat-10_binary.npy,0,429,49959.0
bat-10_binary.npy,1,403,50219.0
bat-10_binary.npy,2,403,50219.0
bat-10_binary.npy,3,394,50309.0
bat-10_binary.npy,4,393,50319.0
bat-10_binary.npy,5,391,50339.0
bat-10_binary.npy,6,389,50359.0
bat-10_binary.npy,7,389,50359.0
bat-10_binary.npy,8,389,50359.0
bat-10_binary.npy,9,389,50359.0
bat-10_binary.npy,10,389,50359.0
bat-10_binary.npy,11,389,50359.0
bat-10_binary.npy,12,389,50359.0
bat-10_binary.npy,13,389,50359.0
bat-10_binary.npy,14,389,50359.0
bat-10_binary.npy,15,389,50359.0
bat-10_binary.npy,16,389,50359.0
bat-10_binary.npy,17,389,50359.0
bat-10_binary.npy,18,389,50359.0
bottle-01_binary.npy,0,42,3840.0
bottle-01_binary.npy,1,39,3870.0
bottle-01_binary.npy,2,38,3880.0
bottle-01_binary.npy,3,38,3880.0
bottle-01_binary.npy,4,36,3900.0
bottle-01_binary.npy,5,36,3900.0
bottle-01_binary.npy,6,36,3900.0
bottle-01_binary.npy,7,36,3900.0
bottle-01_binary.npy,8,36,3900.0
bottle-01_binary.npy,9,36,3900.0
bottle-01_binary.npy,10,36,3900.0
bottle-01_binary.npy,11,36,3900.0
bottle-01_binary.npy,12,36,3900.0
bottle-01_binary.npy,13,36,3900.0
bottle-01_binary.npy,14,36,3900.0
bottle-01_binary.npy,15,36,3900.0
bottle-01_binary.npy,16,36,3900.0
cattle-10_binary.npy,0,840,108591.0
cattle-10_binary.npy,1,601,110981.0
cattle-10_binary.npy,2,492,112071.0
cattle-10_binary.npy,3,492,112071.0
cattle-10_binary.npy,4,484,112151.0
cattle-10_binary.npy,5,484,112151.0
cattle-10_binary.npy,6,467,112321.0
cattle-10_binary.npy,7,462,112371.0
cattle-10_binary.npy,8,455,112441.0
cattle-10_binary.npy,9,453,112461.0
cattle-10_binary.npy,10,451,112481.0
cattle-10_binary.npy,11,447,112521.0
cattle-10_binary.npy,12,443,112561.0
cattle-10_binary.npy,13,443,112561.0
cattle-10_binary.npy,14,442,112571.0
cattle-10_binary.npy,15,441,112581.0
cattle-10_binary.npy,16,441,112581.0
cattle-10_binary.npy,17,441,112581.0
cattle-10_binary.npy,18,441,112581.0
cattle-10_binary.npy,19,441,112581.0
