image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Berberis_thunbergii.npy,89275552,15,91,1.58,12551.0,13
Berberis_vulgaris.npy,89275552,15,203,3.84,45323.0,13
Betula_papyrifera.npy,89275552,15,1060,37.02,633156.0,13
Betula_pendula.npy,89275552,15,345,7.78,86704.0,13
Clematis_vitalba.npy,89275552,15,1001,56.17,481518.0,21
Fallopia_aubertii.npy,89275552,15,343,16.34,117957.0,13
Frangula_alnus.npy,89275552,15,426,13.42,172838.0,13
Hedera_helixSTERILE.npy,89275552,15,1452,142.07,646838.0,13
Koelreuteria_paniculata.npy,89275552,15,752,23.89,380280.0,13
Laburnum_anagyroides.npy,89275552,15,262,5.53,87656.0,13
Physocarpus_opulifolius.npy,89275552,15,636,25.23,330853.0,13
Quercus_cerris.npy,89275552,15,1171,44.17,713439.0,13
Quercus_palustris.npy,89275552,15,1804,67.5,310202.0,19
Robinia_viscosa.npy,89275552,15,335,11.04,135949.0,13
Sorbus_intermedia.npy,89275552,15,968,36.92,651286.0,13
Syringa_chinensis.npy,89275552,15,350,21.36,114776.0,13
Tilia_cordata.npy,89275552,15,446,17.31,209135.0,13
Tilia_tomentosa.npy,89275552,15,1038,44.43,793778.0,13
Viburnum_rhytidophyllum.npy,89275552,15,584,39.39,612567.0,13
Zelkova_serrata.npy,89275552,15,916,40.59,756506.0,13
