image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Bone-10_binary.npy,98856417,20,381,5.11,27570.0,9
Comma-10_binary.npy,98856417,20,166,3.3,67109.0,9
Glas-10_binary.npy,98856417,20,185,3.25,49845.0,9
HCircle-10_binary.npy,98856417,20,127,2.28,47774.0,9
Heart-10_binary.npy,98856417,20,412,5.97,99829.0,9
Misk-10_binary.npy,98856417,20,368,4.95,88731.0,9
apple-10_binary.npy,98856417,20,131,1.99,26707.0,9
bat-10_binary.npy,98856417,20,389,7.8,50359.0,9
beetle-10_binary.npy,98856417,20,349,5.01,15180.0,9
bell-10_binary.npy,98856417,20,211,3.83,77565.0,9
