image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Bone-10_binary.npy,28012999,20,381,3.81,27570.0,7
Comma-10_binary.npy,28012999,20,166,2.58,67109.0,7
Glas-10_binary.npy,28012999,20,185,3.0,49845.0,7
HCircle-10_binary.npy,28012999,20,127,1.76,47774.0,7
Heart-10_binary.npy,28012999,20,412,4.71,99829.0,7
Misk-10_binary.npy,28012999,20,368,4.26,88731.0,7
apple-10_binary.npy,28012999,20,131,1.42,26707.0,7
bat-10_binary.npy,28012999,20,389,7.17,50359.0,7
beetle-10_binary.npy,28012999,20,347,4.72,15200.0,10
bell-10_binary.npy,28012999,20,211,3.15,77565.0,7
