image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Bone-10_binary.npy,26981568,20,411,17.55,27270.0,9
Comma-10_binary.npy,26981568,20,265,21.6,66119.0,9
Glas-10_binary.npy,26981568,20,295,20.31,48745.0,13
HCircle-10_binary.npy,26981568,20,200,12.02,47044.0,9
Heart-10_binary.npy,26981568,20,447,32.32,99479.0,9
Misk-10_binary.npy,26981568,20,430,30.17,88111.0,9
apple-10_binary.npy,26981568,20,214,8.11,25877.0,9
bat-10_binary.npy,26981568,20,429,23.86,49959.0,9
beetle-10_binary.npy,26981568,20,523,16.24,13440.0,17
bell-10_binary.npy,26981568,20,331,24.19,76365.0,9
