image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
HCircle-10_binary.npy,98139895,15,200,22.0,47044.0,13
bat-10_binary.npy,98139895,15,429,22.81,49959.0,13
bottle-01_binary.npy,98139895,15,42,2.52,3840.0,13
cattle-10_binary.npy,98139895,15,753,50.16,109461.0,13
cellular_phone-10_binary.npy,98139895,15,148,22.69,47241.0,13
crown-10_binary.npy,98139895,15,163,3.78,7204.0,14
cup-10_binary.npy,98139895,15,314,14.64,39482.0,13
device2-10_binary.npy,98139895,15,835,41.5,72055.0,13
device7-10_binary.npy,98139895,15,1061,81.79,90193.0,21
elephant-10_binary.npy,98139895,15,328,18.84,39536.0,13
fly-10_binary.npy,98139895,15,569,22.27,34841.0,17
hat-10_binary.npy,98139895,15,87,4.45,11867.0,13
horse-10_binary.npy,98139895,15,605,25.33,26547.0,13
horseshoe-10_binary.npy,98139895,15,53,1.11,1691.0,14
jar-10_binary.npy,98139895,15,413,56.07,96630.0,24
key-10_binary.npy,98139895,15,162,8.48,20319.0,13
lizzard-10_binary.npy,98139895,15,561,40.31,54970.0,13
pencil-10_binary.npy,98139895,15,58,10.73,11131.0,13
personal_car-10_binary.npy,98139895,15,179,10.51,34254.0,13
tree-10_binary.npy,98139895,15,141,5.94,14215.0,13
